구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율
강남구,516.0,39.0,5.0,3587.0,4002.0,80.03875968992247,100.0,100.0,53.4708670197937,88.13093453273363
강동구,160.0,14.0,4.0,1754.0,2530.0,95.0,92.85714285714286,100.0,51.425313568985175,86.99604743083003
강북구,217.0,5.0,7.0,1222.0,2778.0,73.27188940092167,80.0,85.71428571428571,54.99181669394435,89.34485241180705
강서구,275.0,10.0,9.0,1952.0,3204.0,86.9090909090909,100.0,100.0,54.815573770491795,86.3920099875156
관악구,322.0,12.0,6.0,2103.0,3235.0,81.98757763975155,83.33333333333334,100.0,44.55539705183072,83.67851622874807
광진구,279.0,11.0,4.0,2636.0,2392.0,83.87096774193549,54.54545454545454,100.0,40.098634294385434,84.07190635451505
구로구,273.0,10.0,9.0,1910.0,3164.0,66.30036630036629,100.0,100.0,45.07853403141361,84.70290771175726
금천구,175.0,7.0,6.0,1264.0,2193.0,81.71428571428572,100.0,100.0,51.74050632911392,88.73689010487917
노원구,159.0,6.0,5.0,1857.0,2516.0,89.30817610062893,100.0,100.0,39.84921917070544,84.41971383147853
도봉구,123.0,5.0,3.0,866.0,1441.0,98.3739837398374,100.0,100.0,56.812933025404156,90.83969465648855
동대문구,190.0,10.0,5.0,1940.0,2642.0,83.15789473684211,100.0,100.0,55.206185567010316,89.96971990915974
동작구,325.0,7.0,8.0,1226.0,1661.0,45.84615384615385,100.0,75.0,45.18760195758564,86.93558097531607
마포구,399.0,4.0,4.0,2527.0,2939.0,80.20050125313283,100.0,100.0,37.198258804907006,85.06294658046954
서대문구,175.0,5.0,6.0,1503.0,1976.0,84.0,80.0,100.0,50.033266799733866,83.19838056680162
서초구,428.0,13.0,5.0,2205.0,2338.0,63.3177570093458,76.92307692307693,100.0,50.204081632653065,86.7835757057314
성동구,104.0,3.0,4.0,1296.0,1619.0,75.0,100.0,100.0,69.1358024691358,86.96726374305128
성북구,154.0,8.0,4.0,1470.0,2108.0,75.97402597402598,100.0,75.0,49.31972789115646,86.29032258064517
송파구,234.0,15.0,9.0,2543.0,3289.0,78.63247863247864,80.0,88.88888888888889,41.211167911915055,85.37549407114624
양천구,131.0,7.0,5.0,1719.0,2250.0,82.44274809160305,100.0,100.0,43.92088423502037,85.24444444444444
영등포구,356.0,19.0,13.0,2341.0,3593.0,63.20224719101124,73.68421052631578,100.0,40.153780435711234,83.69050932368495
용산구,251.0,9.0,4.0,1489.0,2384.0,85.2589641434263,100.0,100.0,40.22834116856951,84.22818791946308
은평구,156.0,9.0,6.0,1666.0,2664.0,91.02564102564102,77.77777777777779,100.0,53.421368547418965,86.63663663663664
종로구,238.0,12.0,6.0,1940.0,2263.0,74.36974789915966,75.0,33.33333333333333,39.58762886597938,87.36190897039329
중구,198.0,8.0,3.0,2150.0,2225.0,74.74747474747475,87.5,100.0,42.51162790697675,89.70786516853933
중랑구,164.0,14.0,8.0,1691.0,3164.0,91.46341463414635,100.0,87.5,62.211709047900655,85.71428571428571
