name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),강남구,SK에너지,1559,1469,Y,Y,N,N,N,N,37.4671565,127.1187081
HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,강남구,HD현대오일뱅크,1569,1514,Y,Y,N,N,N,N,37.4665675,127.1190803
삼성동주유소,서울 강남구 테헤란로 619 (삼성동),강남구,HD현대오일뱅크,1573,1535,Y,Y,N,N,N,N,37.5098576,127.0651101
방죽주유소,서울 강남구 밤고개로 215 (율현동),강남구,GS칼텍스,1597,1519,Y,Y,N,N,N,N,37.4749926,127.1068866
자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),강남구,SK에너지,1598,1559,Y,Y,N,N,N,N,37.4834002,127.1040458
HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),강남구,HD현대오일뱅크,1619,1539,Y,Y,N,Y,N,N,37.4854623,127.0432181
오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),강남구,SK에너지,1625,1545,Y,Y,N,Y,N,Y,37.485839,127.0396721
극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),강남구,S-OIL,1625,1535,Y,Y,N,Y,N,Y,37.5000776,127.0385419
HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),강남구,HD현대오일뱅크,1629,1554,N,Y,N,Y,N,N,37.4874316,127.0399976
(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),강남구,SK에너지,1637,1567,Y,Y,N,N,N,N,37.4841053,127.0950401
대교셀프주유소,서울 강남구 강남대로 640 (신사동),강남구,SK에너지,1650,1620,Y,N,N,N,N,Y,37.5281292,127.0355537
SK서광주유소,서울 강남구 역삼로 142,강남구,SK에너지,1685,1615,Y,Y,N,Y,N,Y,37.4943424,127.0350915
(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),강남구,S-OIL,1689,1598,N,Y,N,Y,N,N,37.4878254,127.0466876
SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,강남구,SK에너지,1699,1625,N,Y,N,N,N,N,37.492295,127.0418598
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),강남구,GS칼텍스,1699,1669,Y,N,N,Y,N,Y,37.50270829999999,127.0363956
(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,강남구,SK에너지,1737,1697,Y,Y,N,N,N,Y,37.5106887,127.0325689
대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),강남구,SK에너지,1747,1697,Y,Y,N,N,N,Y,37.5253431,127.0338242
세진에너지(주) 개포주유소,서울 강남구 양재대로 339,강남구,GS칼텍스,1788,1698,Y,Y,N,N,N,N,37.4722409,127.0515134
지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),강남구,GS칼텍스,1859,1829,Y,Y,N,N,N,Y,37.51397499999999,127.0561274
HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),강남구,HD현대오일뱅크,1878,1834,N,Y,N,N,N,N,37.5195205,127.0263171
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,강남구,GS칼텍스,1879,1849,N,Y,N,Y,N,Y,37.5000721,127.0672848
대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,강남구,GS칼텍스,1899,1792,N,Y,N,N,N,N,37.518486,127.0646655
지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),강남구,GS칼텍스,1999,1935,N,Y,N,N,N,N,37.4946762,127.0778305
HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),강남구,HD현대오일뱅크,2083,2026,N,Y,N,N,N,N,37.5288681,127.0341046
명품주유소,서울 강남구 도곡로 249 (역삼동),강남구,S-OIL,2128,2037,Y,Y,N,N,N,Y,37.4942704,127.0455093
(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,강남구,GS칼텍스,2137,2062,N,Y,N,N,N,N,37.5014209,127.0591408
㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,강남구,HD현대오일뱅크,2158,1998,N,Y,N,N,N,Y,37.525835,127.0265422
대청주유소,서울 강남구 개포로 654 (일원동),강남구,SK에너지,2195,2086,N,Y,N,N,N,N,37.49247370000001,127.085679
SK논현주유소,서울 강남구 논현로 747 (논현동),강남구,SK에너지,2345,2195,N,Y,N,Y,N,Y,37.5186368,127.028238
(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,강남구,HD현대오일뱅크,2490,2380,N,Y,N,N,N,Y,37.5176472,127.0357349
(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),강남구,GS칼텍스,2598,2560,N,Y,N,N,N,N,37.5115207,127.0471716
재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),강동구,HD현대오일뱅크,1559,1469,Y,Y,N,N,N,N,37.5365133,127.1493588
(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),강동구,GS칼텍스,1616,1538,Y,Y,N,N,N,N,37.5304933,127.128992
대성석유(주)길동주유소,서울 강동구 천호대로 1168,강동구,GS칼텍스,1616,1538,N,Y,N,N,N,N,37.5334229,127.1411725
(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),강동구,GS칼텍스,1645,1565,Y,Y,N,N,Y,N,37.555049,127.1297929
방아다리주유소,서울 강동구 동남로 811 (명일동),강동구,SK에너지,1665,1575,Y,Y,N,N,N,N,37.5490445,127.1508229
(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),강동구,GS칼텍스,1688,1588,Y,Y,N,Y,N,N,37.5313782,127.1273286
(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),강동구,S-OIL,1690,1590,Y,Y,N,N,N,N,37.5293808,127.1224408
주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),강동구,SK에너지,1694,1594,N,Y,N,Y,N,N,37.532314,127.1331781
지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),강동구,GS칼텍스,1699,1639,Y,Y,N,N,N,N,37.5511028,127.1696401
sk해뜨는주유소,서울 강동구  상일로 132 (강일동),강동구,SK에너지,1699,1609,Y,Y,N,Y,N,N,37.5545085,127.1724154
천호현대주유소,서울 강동구 천중로 67 (천호동),강동구,HD현대오일뱅크,1843,1743,N,Y,N,Y,N,N,37.5451331,127.129473
광성주유소,서울 강동구 올림픽로 673 (천호동),강동구,S-OIL,1968,1858,N,Y,N,Y,N,Y,37.5416117,127.1241731
수유동주유소,서울 강북구 도봉로 395 (수유동),강북구,GS칼텍스,1499,1424,Y,Y,N,N,N,Y,37.6421556,127.0295862
SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),강북구,SK에너지,1499,1425,Y,Y,N,N,Y,N,37.6227977,127.0191356
북서울고속주유소,서울 강북구 삼양로 410 (수유동),강북구,SK에너지,1499,1424,Y,N,N,N,N,Y,37.6401448,127.017205
덕릉로주유소,서울 강북구 덕릉로 158 (번동),강북구,S-OIL,1515,1424,Y,Y,N,N,N,N,37.6349756,127.0313182
에덴주유소,서울 강북구 월계로 195 (번동),강북구,SK에너지,1525,1445,Y,Y,N,Y,N,N,37.6216958,127.0455344
대성석유(주)신광주유소,서울 강북구 삼양로 484,강북구,GS칼텍스,1529,1449,N,Y,N,Y,N,N,37.6464088,127.0153285
씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),강북구,S-OIL,1545,1455,Y,Y,N,N,N,N,37.6265292,127.0265002
㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),강북구,GS칼텍스,1565,1475,Y,Y,N,N,N,N,37.6199964,127.0290304
세원주유소,서울 강북구 한천로 918 (번동),강북구,SK에너지,1568,1488,Y,Y,N,N,N,N,37.6342596,127.037732
HD현대오일뱅크㈜직영 번동셀프주유소,서울 강북구 한천로 963 (번동),강북구,HD현대오일뱅크,1577,1497,Y,Y,N,Y,N,Y,37.6355872,127.0330493
강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),강서구,SK에너지,1483,1389,Y,Y,N,N,N,Y,37.5539622,126.7684275
뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),강서구,알뜰주유소,1494,1419,N,N,N,Y,N,N,37.5315796,126.8560524
목화주유소,서울 강서구 국회대로 251 (화곡동),강서구,알뜰주유소,1494,1419,Y,Y,N,N,N,N,37.5300403,126.8629825
화곡역주유소,서울 강서구 강서로 154 (화곡동),강서구,알뜰주유소,1494,1419,Y,N,N,N,N,Y,37.5407186,126.8415303
이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),강서구,HD현대오일뱅크,1494,1419,Y,Y,N,Y,N,N,37.549163,126.8469964
스카이주유소,서울 강서구 개화동로 457 (방화동),강서구,S-OIL,1495,1443,Y,Y,N,N,Y,Y,37.5714858,126.8043806
행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),강서구,HD현대오일뱅크,1495,1443,Y,Y,N,Y,Y,Y,37.574611,126.8023029
지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),강서구,GS칼텍스,1499,1429,Y,Y,Y,Y,N,Y,37.5296209,126.859797
KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,강서구,SK에너지,1520,1450,Y,Y,Y,Y,Y,N,37.5434208,126.816863
(주)한진 김포공항주유소,서울 강서구 하늘길 259,강서구,S-OIL,1540,1495,Y,Y,N,N,N,N,37.5507763,126.8155549
하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),강서구,S-OIL,1569,1494,Y,Y,N,N,Y,Y,37.5546677,126.8548053
HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,강서구,HD현대오일뱅크,1569,1504,Y,Y,N,N,N,N,37.5473368,126.8774764
현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),강서구,HD현대오일뱅크,1576,1496,N,Y,N,N,N,N,37.546808,126.8625545
개화주유소,서울 강서구 양천로 57,강서구,SK에너지,1577,1497,Y,Y,N,N,N,N,37.5735014,126.8100943
대성석유(주) 관문주유소,서울 강서구 공항대로 314,강서구,GS칼텍스,1578,1538,N,Y,N,Y,N,N,37.5577232,126.8425243
화곡현대주유소,서울 강서구 강서로 151 (화곡동),강서구,SK에너지,1580,1546,Y,Y,N,N,N,Y,37.5402614,126.8411983
강서열린주유소,서울 강서구 등촌로 213 (등촌동),강서구,GS칼텍스,1588,1498,N,Y,N,N,N,N,37.54871199999999,126.8630628
신화곡주유소,서울 강서구 국회대로 71,강서구,S-OIL,1595,1495,Y,Y,N,N,N,N,37.5272579,126.8428896
대성석유(주)방화대성주유소,서울 강서구 양천로 176,강서구,GS칼텍스,1596,1538,Y,Y,N,N,Y,N,37.5728815,126.8234821
HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),강서구,HD현대오일뱅크,1599,1559,N,Y,N,N,N,N,37.5678802,126.8510787
세원제1주유소,서울 강서구 양천로 311 (가양동),강서구,SK에너지,1608,1568,Y,Y,N,Y,N,N,37.5678802,126.8510787
대성주유소,서울 강서구 강서로 472,강서구,GS칼텍스,1618,1558,N,Y,N,Y,N,N,37.5675028,126.8414186
SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),강서구,SK에너지,1618,1578,N,Y,N,Y,Y,Y,37.5697823,126.8419022
박물관주유소,서울 강서구 양천로53길 97 (가양동),강서구,GS칼텍스,1658,1598,N,Y,N,Y,Y,N,37.5657849,126.8451216
코리나(주)청룡주유소,서울 강서구 양천로 576,강서구,SK에너지,1678,1598,N,Y,N,N,N,N,37.5567325,126.862765
참솔에너지,서울 강서구 벌말로 281 (오곡동),강서구,S-OIL,1760,1680,Y,Y,N,N,N,N,37.5562519,126.7684491
염창동주유소,서울 강서구 양천로 720 (염창동),강서구,SK에너지,1935,1860,N,Y,N,N,N,N,37.5491113,126.8757906
HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),관악구,HD현대오일뱅크,1559,1464,N,Y,N,N,N,N,37.4777941,126.9143022
(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),관악구,알뜰주유소,1564,1464,Y,Y,N,N,N,N,37.480413,126.9306665
(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),관악구,SK에너지,1564,1464,Y,Y,N,N,N,N,37.4791083,126.9591697
대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),관악구,SK에너지,1569,1474,Y,Y,N,N,N,N,37.4916874,126.9271603
